ticker;name;sektor;land;waehrung;marktkap_mrd;roce_prozent;roce_schnitt_prozent;gewinnrendite_prozent;fcf_rendite_prozent;umsatz_cagr_prozent;bruttomarge_prozent;schulden_zu_ebitda;kgv;rang_qualitaet;rang_bewertung;magic_rang;kandidat;verletzte_kriterien;ausschluss
AD.AS;KONINKLIJKE AHOLD DELHAIZE N.V.;Consumer Defensive;Netherlands;EUR;30.4;11.5;10.3;8.3;14.6;2.0;26.5;2.0;13.7;40;25;65;nein;ROCE < 15 %;
MC.PA;LVMH;Consumer Cyclical;France;EUR;240.2;16.0;18.3;6.8;5.9;0.7;66.2;0.9;22.2;26;39;65;JA;;
PAH3.DE;Porsche Automobil Holding SE  I;Consumer Cyclical;Germany;EUR;9.0;6.6;-5.3;21.0;7.8;-20.4;;1.7;3.2;64;4;68;nein;ROCE < 15 % | Umsatz schrumpft;
RMS.PA;HERMES INTL;Consumer Cyclical;France;EUR;164.7;32.3;33.1;4.4;2.6;11.3;71.1;0.0;36.5;5;63;68;nein;Gewinnrendite < 5 % | FCF-Rendite < 3 %;
SAX.DE;STROEER SE + CO. KGAA;Communication Services;Germany;EUR;2.2;12.9;12.7;7.2;14.2;5.4;42.8;2.5;18.0;33;36;69;nein;ROCE < 15 %;
DHL.DE;DEUTSCHE POST AG              N;Industrials;Germany;EUR;65.0;12.8;14.4;7.2;9.7;-4.3;16.4;2.1;18.8;34;37;71;nein;ROCE < 15 % | Umsatz schrumpft;
FRA.DE;Fraport AG Ffm.Airport.Ser.AG I;Industrials;Germany;EUR;6.3;5.6;5.1;28.4;5.2;11.5;28.8;0.0;14.7;70;2;72;nein;ROCE < 15 % | FCF mehrfach negativ;
KBX.DE;Knorr-Bremse AG               I;Consumer Cyclical;Germany;EUR;16.9;15.1;14.0;6.3;4.6;3.0;54.9;0.0;28.8;29;44;73;JA;;
HOT.DE;HOCHTIEF AG                   I;Industrials;Germany;EUR;33.1;18.1;14.7;5.5;4.9;13.4;25.1;0.5;37.3;21;54;75;JA;;
FME.DE;Fresenius Medical Care AG     I;Healthcare;Germany;EUR;12.0;7.7;5.9;9.0;14.7;0.4;25.6;2.6;13.7;56;22;78;nein;ROCE < 15 %;
